Path,Preds,Label
HOG/Q/Q1.jpg,T,Q
HOG/Q/Q1001.jpg,P,Q
HOG/Q/Q2101.jpg,T,Q
HOG/Q/Q1301.jpg,N,Q
HOG/Q/Q2401.jpg,E,Q
HOG/Q/Q701.jpg,P,Q
HOG/Q/Q2301.jpg,J,Q
HOG/Q/Q1501.jpg,B,Q
HOG/Q/Q1401.jpg,P,Q
HOG/Q/Q1901.jpg,S,Q
HOG/Q/Q2201.jpg,P,Q
HOG/Q/Q101.jpg,G,Q
HOG/Q/Q501.jpg,L,Q
HOG/Q/Q2801.jpg,F,Q
HOG/Q/Q2501.jpg,P,Q
HOG/Q/Q1801.jpg,C,Q
HOG/Q/Q601.jpg,E,Q
HOG/Q/Q1601.jpg,L,Q
HOG/Q/Q401.jpg,Y,Q
HOG/Q/Q1701.jpg,X,Q
HOG/Q/Q1201.jpg,F,Q
HOG/Q/Q301.jpg,D,Q
HOG/Q/Q2601.jpg,P,Q
HOG/Q/Q2701.jpg,F,Q
HOG/Q/Q1101.jpg,U,Q
HOG/Q/Q2901.jpg,T,Q
HOG/Q/Q201.jpg,T,Q
HOG/Q/Q2001.jpg,M,Q
HOG/Q/Q901.jpg,P,Q
HOG/Q/Q801.jpg,O,Q
HOG/R/R201.jpg,H,R
HOG/R/R2901.jpg,W,R
HOG/R/R501.jpg,E,R
HOG/R/R2001.jpg,E,R
HOG/R/R1801.jpg,B,R
HOG/R/R601.jpg,X,R
HOG/R/R1301.jpg,B,R
HOG/R/R1401.jpg,U,R
HOG/R/R1701.jpg,B,R
HOG/R/R2501.jpg,Q,R
HOG/R/R2301.jpg,M,R
HOG/R/R2601.jpg,W,R
HOG/R/R2401.jpg,P,R
HOG/R/R1001.jpg,C,R
HOG/R/R1501.jpg,B,R
HOG/R/R2101.jpg,P,R
HOG/R/R2201.jpg,E,R
HOG/R/R1901.jpg,B,R
HOG/R/R701.jpg,K,R
HOG/R/R2701.jpg,F,R
HOG/R/R801.jpg,R,R
HOG/R/R901.jpg,W,R
HOG/R/R401.jpg,X,R
HOG/R/R1201.jpg,B,R
HOG/R/R1101.jpg,B,R
HOG/R/R1.jpg,B,R
HOG/R/R1601.jpg,F,R
HOG/R/R101.jpg,Y,R
HOG/R/R301.jpg,A,R
HOG/R/R2801.jpg,D,R
HOG/S/S201.jpg,E,S
HOG/S/S301.jpg,M,S
HOG/S/S901.jpg,O,S
HOG/S/S1301.jpg,O,S
HOG/S/S2601.jpg,X,S
